timestamp,open,high,low,close,volume,timeframe,source,source_type,is_percentage,lookahead_safe
2025-04-17 08:00:00+00:00,52.359,52.578,52.317,52.366,258.199,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-17 12:00:00+00:00,52.365,52.759,52.284,52.524,346.5,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-17 16:00:00+00:00,52.524,52.742,52.05,52.695,1270.871,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-17 20:00:00+00:00,52.69,52.739,52.504,52.687,252.816,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-18 00:00:00+00:00,52.688,52.957,52.667,52.706,325.078,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-18 04:00:00+00:00,52.707,52.858,52.517,52.517,471.34,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-18 08:00:00+00:00,52.518,52.559,52.36,52.417,225.095,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-18 12:00:00+00:00,52.417,52.57,52.257,52.497,182.147,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-18 16:00:00+00:00,52.497,52.517,52.161,52.234,181.484,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-18 20:00:00+00:00,52.234,52.463,52.149,52.406,112.589,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-19 00:00:00+00:00,52.407,52.492,52.135,52.147,156.288,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-19 04:00:00+00:00,52.145,52.3,52.008,52.2,209.399,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-19 08:00:00+00:00,52.201,52.463,52.169,52.392,144.725,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-19 12:00:00+00:00,52.393,52.537,52.291,52.338,116.324,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-19 16:00:00+00:00,52.338,52.39,52.014,52.093,194.773,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-19 20:00:00+00:00,52.093,52.128,52.0,52.04,204.93,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-20 00:00:00+00:00,52.041,52.074,51.5,52.001,876.934,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-20 04:00:00+00:00,52.0,52.317,51.916,52.124,255.252,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-20 08:00:00+00:00,52.128,52.519,52.025,52.48,566.027,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-20 12:00:00+00:00,52.485,52.514,52.356,52.483,315.653,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-20 16:00:00+00:00,52.484,52.508,52.144,52.183,112.018,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-20 20:00:00+00:00,52.184,52.589,52.127,52.45,201.295,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-21 00:00:00+00:00,52.451,52.919,52.345,52.631,814.34,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-21 04:00:00+00:00,52.632,52.694,52.166,52.327,644.617,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-21 08:00:00+00:00,52.327,52.651,52.256,52.527,547.524,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-21 12:00:00+00:00,52.527,53.256,52.524,53.164,627.204,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-21 16:00:00+00:00,53.16,53.81,53.147,53.746,584.8,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-21 20:00:00+00:00,53.75,53.919,53.634,53.814,160.351,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-22 00:00:00+00:00,53.814,54.36,53.813,54.112,616.96,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-22 04:00:00+00:00,54.119,54.266,53.493,53.531,344.846,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-22 08:00:00+00:00,53.537,53.682,53.269,53.416,453.958,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-22 12:00:00+00:00,53.417,53.969,52.91,53.152,860.657,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-22 16:00:00+00:00,53.153,53.718,52.979,53.595,165.03,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-22 20:00:00+00:00,53.589,53.699,52.91,53.223,365.768,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-23 00:00:00+00:00,53.22,53.346,52.419,52.539,473.096,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
